hjd,camera,filter,mag,mag err,flux (mJy),flux err
2457853.53266,bf,V,13.252,0.02219,19.188,0.392
2457295.81845,bf,V,14.047,0.02428,9.228,0.206
2458371.8052,bf,V,14.024,0.0241,9.43,0.209
2458186.5912,bf,V,13.543,0.0219,14.676,0.296
2457980.8687,bf,V,14.068,0.02446,9.05,0.204
2457825.59039,bf,V,13.765,0.02251,11.967,0.248
2457315.72079,bf,V,13.84,0.02287,11.167,0.235
2457035.69994,bf,V,13.496,0.02186,15.334,0.308
2457016.65975,bf,V,13.32,0.022,18.034,0.365
2456855.93395,bf,V,14.019,0.02406,9.466,0.209
2458359.83491,bf,V,14.0,0.02391,9.634,0.212
2458022.75137,bf,V,14.15,0.02522,8.392,0.195
2457399.60055,bf,V,14.149,0.02521,8.4,0.195
2457136.49845,bf,V,13.631,0.02206,13.537,0.275
2457014.7166,bf,V,13.801,0.02267,11.573,0.241
2457994.82815,bf,V,14.073,0.0245,9.012,0.203
2457383.65087,bf,V,14.048,0.02429,9.219,0.206
2457005.64114,bf,V,14.066,0.02444,9.071,0.204
2457428.70363,bf,V,13.624,0.02204,13.622,0.276
2458340.88935,bf,V,13.134,0.0227,21.391,0.447
2458053.6755,bf,V,14.008,0.02397,9.568,0.211
2457983.85812,bf,V,14.009,0.02398,9.558,0.211
2457084.54972,bf,V,13.991,0.02384,9.72,0.213
2457039.60779,bf,V,14.05,0.02431,9.205,0.206
2458028.74063,bf,V,13.979,0.02375,9.826,0.215
2457113.54926,bf,V,14.068,0.02446,9.047,0.204
2457002.65473,bf,V,13.548,0.0219,14.607,0.294
2456971.70046,bf,V,13.256,0.02217,19.12,0.39
2458385.76501,bf,V,13.565,0.02193,14.383,0.29
2458160.58538,bf,V,14.108,0.02482,8.721,0.199
2458128.53864,bf,V,14.079,0.02456,8.957,0.202
2458126.59051,bf,V,13.663,0.02214,13.139,0.268
2458081.58298,bf,V,14.004,0.02394,9.599,0.211
2457132.5002,bf,V,13.994,0.02386,9.691,0.213
2456972.69724,bf,V,13.697,0.02225,12.737,0.261
2456894.85538,bf,V,13.495,0.02186,15.345,0.309
2458032.72554,bf,V,13.489,0.02185,15.425,0.31
2457745.67574,bf,V,13.447,0.02185,16.035,0.322
2457291.83047,bf,V,13.36,0.02193,17.372,0.35
2457004.64379,bf,V,14.13,0.02503,8.553,0.197
2458372.80171,bf,V,14.138,0.0251,8.485,0.196
2458000.8536,bf,V,13.924,0.02337,10.331,0.222
2457694.77451,bf,V,14.023,0.02409,9.437,0.209
2457429.67694,bf,V,13.433,0.02185,16.245,0.327
2457251.84887,bf,V,14.038,0.02421,9.301,0.207
2458358.83854,bf,V,14.029,0.02414,9.381,0.208
2458011.83466,bf,V,14.049,0.0243,9.207,0.206
2457479.48605,bf,V,14.041,0.02423,9.28,0.207
2457375.53513,bf,V,13.611,0.02201,13.792,0.279
2457318.74195,bf,V,13.646,0.02209,13.353,0.271
2457021.62629,bf,V,14.03,0.02414,9.374,0.208
2458035.86406,bf,V,13.686,0.02221,12.866,0.263
2457981.88066,bf,V,14.072,0.0245,9.02,0.203
2457485.52055,bf,V,13.695,0.02224,12.756,0.261
2457435.68844,bf,V,14.036,0.02419,9.319,0.207
2457396.73901,bf,V,13.732,0.02237,12.334,0.254
2458338.93579,bf,V,13.742,0.02241,12.227,0.252
2458152.61086,bf,V,13.844,0.02289,11.128,0.234
2458144.70091,bf,V,13.273,0.02212,18.825,0.383
2456979.77439,bf,V,14.019,0.02406,9.471,0.21
2458355.84901,bf,V,13.141,0.02266,21.255,0.443
2458088.71776,bf,V,14.049,0.0243,9.21,0.206
2457730.772,bf,V,13.734,0.02238,12.309,0.253
2458344.88037,bf,V,14.178,0.0255,8.182,0.192
2458016.77442,bf,V,13.695,0.02224,12.757,0.261
2457771.62017,bf,V,13.896,0.02319,10.603,0.226
2457683.82548,bf,V,13.81,0.02271,11.481,0.24
2457666.73322,bf,V,13.72,0.02233,12.476,0.256
2457112.5603,bf,V,14.174,0.02546,8.21,0.192
2457052.59124,bf,V,14.039,0.02422,9.295,0.207
2456915.82367,bf,V,14.09,0.02466,8.871,0.201
2458140.67882,bf,V,13.714,0.02231,12.537,0.257
