,t,Flux,Flux_error
1286,1546.1678264743125,189768.69,49.2102
1287,1546.1692153784625,189871.67,49.210987
1288,1546.1706042821477,189864.73,49.224064
1289,1546.1719931862986,189950.86,49.23402
1290,1546.1733820899838,189726.66,49.22676
1291,1546.174770993669,189816.86,49.220562
1292,1546.1761598978198,189708.8,49.205147
1293,1546.177548801505,189929.56,49.226562
1294,1546.1789377051896,189770.69,49.216614
1295,1546.1803266093405,189790.05,49.23993
1296,1546.1817155130263,189782.45,49.234657
1297,1546.1831044167113,189898.56,49.245575
1298,1546.1844933208615,189733.3,49.216286
1299,1546.1858822245467,189920.92,49.237396
1300,1546.187271128232,189738.16,49.23181
1301,1546.1886600323828,189816.61,49.22205
1302,1546.190048936068,189744.47,49.238205
1303,1546.1914378397532,189783.2,49.209755
1304,1546.192826743904,189750.47,49.217712
1305,1546.1942156475886,189755.84,49.225742
1306,1546.1956045512738,189901.5,49.195976
1307,1546.1969934549597,189784.33,49.213894
1308,1546.1983823591106,189826.64,49.235672
1309,1546.199771262795,189682.08,49.210636
1310,1546.2011601664801,190104.42,49.26315
1311,1546.2025490701653,189760.06,49.20671
1312,1546.2039379738499,189751.56,49.22688
1313,1546.2053268780007,189824.5,49.24078
1314,1546.2067157816866,189686.97,49.212914
1315,1546.2081046853718,189832.17,49.20867
1316,1546.2094935890564,189767.97,49.213696
1317,1546.2108824927416,189799.31,49.224262
1318,1546.2122713968931,189850.8,49.2098
1319,1546.213660300578,189875.28,49.223064
1320,1546.2150492042626,189822.73,49.20638
1321,1546.2164381079479,189730.7,49.21398
1322,1546.217827011633,189873.11,49.226067
1323,1546.2192159153176,189890.52,49.238186
1324,1546.2206048194685,189751.92,49.211834
1325,1546.2219937231544,189844.58,49.220585
1326,1546.2233826268396,189795.75,49.220882
1327,1546.224771530524,189806.55,49.235027
1328,1546.2261604342093,189906.81,49.24008
1329,1546.2275493378945,189918.55,49.24427
1330,1546.2289382415795,189824.5,49.21501
1331,1546.2303271452647,189873.55,49.242794
1332,1546.23171604895,189727.19,49.212265
1333,1546.2331049531008,189832.89,49.2505
1334,1546.2344938567853,189892.31,49.233505
1335,1546.2358827604698,189852.69,49.24134
