,x,y
139,1898.3682619282554,49072.87192432439
140,1898.3886941717865,48962.62232111655
141,1898.4091263143782,48918.482710201395
142,1898.4295586569788,48819.6855001252
143,1898.4499908986472,48782.567971974466
144,1898.470423040315,48694.67010204777
145,1898.4908553810455,48593.06606026414
146,1898.511287621317,48495.45121985712
147,1898.5317197611148,48419.81296914851
148,1898.5521521004557,48392.45708662429
149,1898.5725843388645,48348.386600179816
150,1898.5930164772726,48182.11814935085
151,1898.6134488147436,46136.363199910586
152,1898.6338810517555,41579.27670945669
153,1898.6543131887593,35329.772568047876
154,1898.6747455243749,27941.00777295398
155,1898.6951777599897,20188.82063434682
156,1898.7156099951317,13831.437426909852
157,1898.7360422293496,15658.147769811312
158,1898.7564744635674,22991.93260796455
159,1898.7769066968467,30702.935780739932
160,1898.7973389296676,37772.57983901315
161,1898.8177711620228,43472.44378584043
162,1898.838203493906,47290.80688386563
163,1898.8586357253298,48409.025540438146
164,1898.8790678558216,48487.16557872435
165,1898.8995001863077,48518.79867986623
166,1898.919932415869,48555.09087888707
167,1898.9403645449638,48639.8550278457
168,1898.9607968735872,48735.72041595241
169,1898.9812290017508,48827.32165287864
170,1936.0037641288218,48932.85788962014
171,1936.02419575768,49005.55164876336
172,1936.0446273864145,49091.51078726347
173,1936.0650590149235,49140.82761333013
174,1936.0854906434324,49158.792757981304
175,1936.1059223718185,49156.69625747859
176,1936.1263539999782,49162.7035013461
177,1936.1467855281371,49151.374625960714
178,1936.167217256174,49131.57754729981
179,1936.1876487841,49128.915610080265
180,1936.208080411794,49084.522205783374
181,1936.2285121394816,49055.522329443585
182,1936.2489436670585,49021.81069911871
183,1936.2693752944033,48988.56668489044
184,1936.2898070217416,48971.04937566059
185,1936.3102385489692,48947.35990200819
186,1936.3306701759648,48996.178555762526
187,1936.3511019029538,48898.048589178274
188,1936.3715334297158,48493.91329175281
189,1936.3919651564793,47928.2047368615
190,1936.4123967831183,47214.692072288606
191,1936.432828309531,46520.51300792912
192,1936.453260035938,46080.081715580236
193,1936.473691662235,45639.19008970713
194,1936.4941232882993,46068.427295950634
195,1936.5145549143635,46758.63901955543
196,1936.534986540304,47484.64946819812
197,1936.5554181661355,48163.31622399403
198,1936.5758498917276,48713.8298799371
199,1936.5962814173254,49008.77440551658
200,1936.6167131428083,49048.07604834735
201,1936.6371447681668,49079.27562830807
202,1936.6575762934153,49076.51257883772
203,1936.678008018549,49085.738965086064
204,1936.6984396435582,49133.15339179633
205,1936.7188711684576,49197.38543319437
206,1936.739302893242,49234.636084598045
207,1936.759734517902,49237.55192683422
208,1936.7801660425685,49312.687021895865
209,1936.8005977670036,49280.000042477266
210,1936.8210293913144,49257.63567349449
211,1936.8414609155152,49298.46671602626
212,1936.8618926397176,49275.825313517475
213,1936.8823241636856,49219.48502285282
214,1936.9027558876478,49173.993405248606
215,1936.9231875113837,49093.31009474496
216,1936.9436190351116,49031.46620185507
217,1936.964050758732,48949.79801931663
218,1936.9844823821186,48911.959436693236
219,1937.004914005498,48825.4607135111
220,1937.0253456287683,48724.204683792064
221,1937.0457772519221,48603.35430696281
222,1937.0662088749523,48489.68137023866
223,1937.0866404978733,48429.655154859494
224,1937.1070721207943,48380.44724151403
225,1937.1275037434752,48399.128420997404
226,1937.1479354660478,48285.692443178006
227,1937.1683669886188,48188.168699321934
228,1937.1887987109512,47611.093078981954
229,1937.2092303332902,44497.460198027446
230,1937.229661855512,39266.117941407574
